"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"87","NEVILLE","SEAMUS",6,"Hey!  Listen up, you lot!  I have brought you a surprise! |Okay, okay!  Stand down!  Let  not kill them before You-Know-Who gets the chance! |You do know whatyou are doing, Do not you, Seamus? Blimey. Not Good.  |Yeah!  You and whose army! |Sorry. Ow. |Well done, Seamus!",271
"88","SEAMUS","NEVILLE",8,"Not more of Aberforth  cooking, I hope.  Be a surprise if we could digest it. |Blimey.|That  it.  I want a charge on each and every joist. |Woah! Easy up there!|He is good|He is good|Told yeh I would bring  her down.|Stand down, Neville!",237
"89","NEVILLE","NIGEL",1,"Get the word out to Remus and the others that Harry  back. ",59
"90","NIGEL","RIVER, DA",1,"River, DA calling.  Do you read?  We have a new weather report:  Lightning has struck.  I repeat, lightning has struck  ",120
"91","DEAN","HARRY",1,"Where is it?",12
"92","HARRY","DEAN",1,"do not know that either. ",25
"93","HARRY","SEAMUS",2,"I realize it is not much to go on.|I think it might have something to do with Ravenclaw.  It would be small, easy to conceal, valuable.  Any ideas? ",148
"94","SEAMUS ","HARRY",1,"That is nothing to go on. ",26
"95","RON","LUNA ",1,"Oh, bloody hell.  Here we go. ",30
"96","LUNA","RON",1,"The lost diadem of Ravenclaw?  Has not anyone ever heard of it?  It  quite famous. ",83
"97","CHO","RON",1,"It  a kind of crown.  You know, like a tiara.",45
"98","CHO","HARRY",1,"Ravenclaw  was rumored to have magical properties, to enhance the wisdom of the wearer. ",88
"99","GINNY","HARRY",1,"Harry.",6
"100","HARRY","GINNY",1,"Hey there. ",11
"101","SEAMUS","HARRY",1,"Got loads of those, though, does not she?  There  only one Harry",64
"102","RON","SEAMUS",1,"Shut up, Seamus. ",17
"103","NEVILLE","GINNY",5,"What is it, Ginny?|Not good|Are you bloody joking?!|That was kind of exciting.|Not good.",88
"104","GINNY","NEVILLE",6,"Snape knows.  He knows that Harry was spotted in Hogsmeade.|Ready!?|What?|Mad. Thhe both of you.|I know.|Who  that?
  Hagrid  carrying?
Neville, who is that?",157
"105","ALECTO CARROW","MAISY REYNOLDS ",1,"Put a smile on, Miss Reynolds.  Would not want me to have to pay a visit to Daddy again, would you?",99
"106","SNAPE ","ALECTO CARROW",3,"Many of you are surely wondering why I have summoned you here at this hour.  It has come to my attention that earlier this evening  Harry Potter was sighted in Hogsmeade. |I mention this in the hopes that truth will not be supplanted by rumor. |For myself and a few select members of the staff this comes as little surprise.  We have, for some time, considered Mr. Potter  return to Hogwarts to be not only possible but inevitable.  Consequently, in the past several months and under my specific direction, exhaustive defensive strategies have been employed to defeat any attempt Mr. Potter might make to breach these walls.  But know this.  Should anyone -- student or staff  -- attempt to aid Mr. Potter, that person will be punished in a manner consistent with the severity of their transgression.  Rest assured:  So long as I am Headmaster at Hogwarts, Harry Potter will never again step foot in this castle. ",913
"107","SNAPE ","MAISY REYNOLDS ",1,"Now then.  If anyone here has knowledge of Mr. Potter  movements this evening  I invite them to step forward now. ",114
"108","HARRY","SNAPE",4,"I think I can help you out with that  |How dare you stand where he stood. |Tell them how it was that night.  Tell then how you looked him in the eye, a man who trusted you  and killed him.  Tell them! |Give me something! Quickly! A flask! Anything. ",249
"109","HARRY","SNAPE ",2,"It would seem that, despite your exhaustive defensive strategies, you have a bit of a security problem, Headmaster. |And I am afraid it  rather extensive",153
"110","PROFESSOR McGONAGALL","SNAPE",1,"Coward!  COWARD!  And he did not even stay to fight! ",53
"111","PROFESSOR McGONAGALL","HARRY",8,"Mr. Potter, do you mind telling me whatyou are doing here, which, I trust you realize, is an act of complete and utter lunacy? |I thought it might have something to do with that. |It appears that your Headmaster, to use the common phrase, has done a bunk. |I presume you have a reason for returning, Potter.  What is it you need? |Do what you have to do. I will secure the castle. |We teachers are rather good at magic, Potter.  We haveeven been known to turn out a worthwhile witch or wizard on occasion. |I think it  time I ask a few of them to take their magic beyond the classroom.  What do you think? |By the way Potter, it is good to see you. ",649
"112","HARRY","PROFESSOR McGONAGALL",5,"I am a Gryffindor. |Time.  As much as you can give me. |Is that possible, professor? |I think you are right. |You, too, professor ",130
"113","VOLDEMORT","HARRY",8,"I know that many of you will want  to fight.  Some of you may even think this wise.  But this is folly. |I wish you no harm.  I have great respect for the students of Hogwarts.  I was once one myself after all.  I ask for but one thing and if granted no magical blood shall be spilt  |Give me Harry Potter.  Do this and none shall be harmed.  Give me Harry Potter and I shall leave Hogwarts untouched.  Give me Harry Potter and you will be rewarded|You have fought valiantly  but in vain. I do not wash this. Every drop of magical blood spilled is a terrible waste. I therefore command my forces to retreat. In their absence, disposs of your dead with dignity. Treat your injured. Harry Potter, I speak now directly to you. On this night you have allowed your friends to die for you rather thhan face my yourself. There is no greater dishonor. Join me in the Forbidden Forest and confront your fate. Shhould you do so i give my word that no other life will be lost on this nighht. You have one hour. If, at the end of that time, you have not given yourself up, then I shall punish every last man, woman and child whho tries to conceal you from me. |Harry Potter. The Boy Who Lived.
Come to die.|Leave her!
I said LEAVE HER!|Die! Die!
Why do you live!|It belongs to me! I killed Snape!",1284
"114","PANSY PARKINSON","VOLDEMORT",1,"But he  there!  Potter  there!  Someone grab him! ",50
"115","FILCH","PROFESSOR McGONAGALL",3,"Students out of bed!  Students in the corridors! |Oh, sorry mum. |Right away. Er, exactly where is it I had be leading em to, mum? ",131
"116","PROFESSOR McGONAGALL","FILCH",3,"They are supposed to be out of bed, you blithering idiot! |Wait!  As it turns out, Mr. Filch, your arrival is most opportune.  If you would, I had like you to lead Miss Parkinson and the rest of Slytherin House from the Hall. |The dungeons should do.",250
"117","NEVILLE","PROFESSOR McGONAGALL",3,"Let me get this straight, Professor. you are giving us permission to do this? |To blow it up. Boom. |Wicked. Um  exactly how do you propose we do this, Professor? ",163
"118","PROFESSOR McGONAGALL","NEVILLE",3,"That is correct, Longbottom. |Boom.|Why Do not you confer with Mr. Finnegan. As I recall, he has a particular proclivity for pyrotechnics. ",139
"119","SEAMUS","PROFESSOR McGONAGALL",1,"I can bring  her down. ",23
"120","PROFESSOR McGONAGALL","SEAMUS",1,"That is the spirit. Now you go off. ",36
"121","FLITWICK","PROFESSOR McGONAGALL",1,"You realize, of course, that nothing we do will be able to keep out You-Know-Who indefinitely. ",95
"122","MADAM SPROUT","FLITWICK",1,"That does not mean we can not hold him up. ",43
"123","PROFESSOR McGONAGALL","FLITWICK",1,"That does not mean we Can not hold him up.  And his name is Voldemort, Filius.  You might as well use it.  He  going to try to kill you either way.",147
"124","PROFESSOR McGONAGALL","TEACHERS",1,"Hogwarts is threatened!  Man the boundaries and protect us!  Do your duty to our school! ",89
"125","TEACHERS","PROFESSOR McGONAGALL",1,"Protego Maxima  Finato Duri  Repello Inimicum ",46
"126","HARRY","LUNA ",6,"I am a bit preoccupied right now, Luna. |We will talk later, Luna. |Later. |so? |Okay Luna, who have you got in mind? |Are not you coming? ",139
"127","VOLDEMORT","THICKNESSE",1,"They never learn.  Such a pity. Begin. ",39
"128","THICKNESSE","VOLDEMORT",1,"But my lord, should not we wait ",32
"129","FRED","GEORGE",1,"Nice night for it!",18
"130","KINGSLEY SHACKLEBOLT","DEAN",2,"Tell Professor McGonagall Remus and I will handle this side of the castle.|Dean! On second thought, tell Professor McGonagall we might need one or two more wands this side. ",173
"131","DEAN","KINGSLEY SHACKLEBOLT",1,"Yes, sir. ",10
"132","LUPIN","KINGSLEY SHACKLEBOLT",2,"It  the quality of one  conviction that determines success, not the number of one  followers. |Me. ",99
"133","KINGSLEY SHACKLEBOLT","LUPIN",1,"Who said that?",14
"134","LUPIN","TONKS",1,"Speaking of quality. You should not have.  It  Teddy who needs you. ",68
"135","TONKS","LUPIN",1,"He will sleep until dawn and snore like his father.  It  you who needs me tonight. ",83
"136","HARRY","THE GREY LADY ",7,"It is you |You are the Grey Lady, the ghost of Ravenclaw Tower. |I am sorry.  It  Helena, is not it?  Helena Ravenclaw.  Rowena  daughter.  Luna told me. |Yes.  She thought you might be able to help me. |Yes!  That  right -|Wait, please!|But I Do not care about its powers!  Honestly -- I Do not seek it for myself!  You have to believe me! I want to destroy it. That  what you want, is not it, Helena?  You want it destroyed. ",427
"137","THE GREY LADY","HARRY",4,"I do not answer to that name. |Are you a friend of Luna is?|Luna is kind.  Unlike so many of the others, but she was wrong.  I cannot help you. |Many have sought my mother  diadem.  Its powers are legendary  ",208
"138","THE GREY LADY ","HARRY",4,"You seek my mother is diadem. |She thought I took it to hurt her. |It is here. In the castle. In the place where everything is hhidden|If you have to ask, you will never know. If you know, you need only ask ",207
"139","HARRY","THE GREY LADY",2,"Thank you|Thank you",19
"140","PROFESSOR MCGONAGALL","EVERYONE",1,"Fall inside! Everybody! Fall inside!",36
"141","NEVILLE","NEVILLE",1,"oh God",6
"142","FILCH","PANSY PARKINSON",1,"Night-tee night.",16
"143","PANSY PARKINSON","FILCHH",1,"You let us out of here, you filthy squib!",41
"144","DRACO","GOYLE",1,"Take my hand. Now. ",19
"145","DRACO","HARRY",6,"Well, well, what brings you here, Potter?|I virtually Lived here last year. Remember?|You have something of mine. I would like it back.|Easy.|Give me my wand.|Potter!",166
"146","HARRY","DRACO",7,"I could ask you the same.|I remember.|It is my mother is. It is very powerful, but it is not the same. It does not  understand me. Know what I mean?|Why did not you tell her?|Bellatrix. You knew it was me. But you did not say anything.|No. I do not think so |Besides, its allegiance is to me now. if you want it, you will have to win it back. Perhaps even kill me ",364
"147","GOYLE","DRACO",1,"C amon, Draco. do not be a prat. Just do  him. ",47
"148","GOYLE","RON",1,"Avada Kedavra!",14
"149","GOYLE","HARRY",1,"Avada Kedavra!",14
"150","HARRY","GOYLE",1,"Expelliarmus!",13
"151","RON","HERMIONE ",1,"RUN! Goyle is set the bloody place on fire!",43
"152","RON"," HARRY",1,"IF WE DIE FOR THEM, I will KILL YOU, HARRY!",43
"153","VOLDEMORT","VOLDEMORT",1,"Nagini. Come.",13
"154","VOLDEMORT","LUCIUS MALFOY",3,"Stop looking at her. She smells your fear. It agitates her. Be grateful she is just eaten. |I do not need to seek the boy! Before thhe night is out, he will come to me! Do you understand!|How do you live with yourself, Lucius? Go. Find Severus. Tell him I need to see him immediately. ",285
"155","LUCIUS MALFOY","VOLDEMORT",2,"Forgive me, my lord, but would not it be more prudent to call off thhis battle and seek the boy yourself?|Of c-course, my Lord. ",128
"156","TRELAWNEY","LUNA",1,"There is more to me than incense and tea leaves, Mr. Finnegan. ",63
"157","LUNA","NEVILLE",1,"Thanks",6
"158","NEVILLE","LUNA",1,"do not mention it.",18
"159","HERMIONE","LAVENDER",1,"No!",3
"160","VOLDEMORT","SNAPE",10,"Why does not it work for me?|No! I am extraorfinary! But the wand resists me!|Does it?|The wand. Does it truly answer to me?|You are a clever man, Severus. Surely you must know. |Where , Severus? Where does its loyalty lie?|The Elder Wand cannot serve me properly, Severus, because I am not its true master The Elder Wand belongs to the wizard who killed its last owner. Ollivander was quite explicit about that. You killed Dumbedore, Severus. While you live, the Elder Wand cannot be truly mine. |You have been a good and faithful servant, Severis. |But only I can live forever |Kill",584
"161","SNAPE","VOLDEMORT",5,"You have performed extraordinary magic with this wand, my Lord. In the last few hours alone--|There is no wand more powerful. Ollovander himself said it. Tonight, when the boy comes to you, it will not fail you, I AM SURE. It answers to you and you only. |My Lord?|With you, of course, my Lord. |My Lord--",305
"162","SNAPE","HARRY",5,"Take them |Take them!|Please.|They are the same |You have your mother is eyes ",78
"163","RON","VOLDEMORT",2,"Never! Do you hear me! Never!|Liar!",35
"164","YOUNG SNAPE","LILY",3,"Lily |She is jealous. Because she is ordinary and you are special. |It is true. You know so yourself. ",102
"165","PETUNIA","LILY",2,"Lily! Come out of there! Now!|We are going home. ",49
"166","LILY","YOUNG SNAPE",1,"That is mean.",13
"167","SNAPE","DUMBLEDORE",23,"No! do not kill me!|None. I come on my own account. I come with a   request. |Yes. |Only what I heard. But now  he thinks it refers to her. |Yes! But he thinks it is her son! He intends to hunt them down now! To kill them!|She is more than that! She is different! Beautiful. Kind. Hide them all. I beg you. |Anything.|you said you would keep her safe!|do not!|He does not need protection. The Drak lORD HAS GONE--|No one can know. Your word. |He exhibits no measurable talent. His arrogance rivals even his father is. And he seems to relish his fame. |You see what you want to see.|Why did you put it on? Surely you realized it carried a curse. |Drink thhe rest. It will contain the curse to the hand for the time being. |It will spread.|Maybe a year. |It is not ecpected that he will succeed. |Tell him what?|So when thhe time comes, the boy must die. |You have kept hhim alive so that he can die at the proper moment. You have been raising him like a pig for slaughter. |Exoecto Patronim!|Always ",998
"168","DUMBLEDORE","SNAPE",32,"That was not my intention. |Stand uo, Severus. I have not muchh time. What message do you bring from Lord Voldemort this time?|Is thois about the Prophhecy?|how much did you relay?|The prophhecy did not refer to a woman. It spoke of a boy born at the end of Jult--|If she means so much to you, surely Lord Voldemort would spare her in exchange for the boy.|You disgust me. You would sacrifice the life of an innocent child over a schhoolboy crushh?|And should I do so, what will you give me in return, Severus?|Lily and James put their faith in the wrong person. Rather like you, Severus. |The boy servives.|He has her eyes. |If you loved Lily Evans, Severus. If you truly loved her. Then your way is clear. |The Dark lord will return. And the boy will be in terrible danger when he does. |My word that I shhall never reveal the best of you, Severus? If you insist. |Sometimes we see whhat we expect to see, Severus. Other teachers indicate the boy is modest, likeable and while no prodigy, possesses above-average gifes. Personally, I find him rather engaging. |Perhaps. Oh. Severus. Keep an eye on professor Quirrell, wo not you?|I was foolish greedy |For the time being?|How long?|Well, this makes matters much more straightforward.|Do not ignore me, Severus. Was it not you who told me of Lord Voldemort is plan to have the Malfoy boy murder me?|But should he fail, one would presume the Dark lord will turn to  you. |You must agree. |Yes. You must be the one to kill me, Severus. It is the only way. Only then will the ark Lord trust you completely. |Too much! Nothing I could ask is too much. You know what is at stake! You more than anyone!|There will come a time when Harry Potter must be told something. But you must wait until Voldemort is at his most vilnerable. |On the night Lord Voldemort went to Godric is Hollow to kill Harry, and Lily Potter cast herself between them, the curse rebounded. When that happened, a part of Lord Voldemort is soul latched itdelf onto thhe only living thing it could find: Harry himself. |There is a reason Harry can speak with snakes. There is a reason he can look into Lord Voldemort is mind. A part of Lord Voldemort lives inside him.|Yes. And Voldemort himself must do it. That is essential. |But this is touching, Severus. do not tell me you have grown to care for the boy?|Lily. After all thhis time?|The irony of course, Severus, is that--in the end --you and the boy desire the same thing ",2442
"169","SNAPE ","DUMBLEDORE",2,"I have asked.|You ask too much.",31
"170","OLIVER WOOD","GINNY",1,"I will take hime from here. ",28
"171","GINNY ","YOUNG GIRL ",1,"It is all right. We are going to get you inside. ",49
"172","YOUNG GIRL ","GINNY",1,"I kept calling. No one came. ",29
"173","GINNY","YOUNG GIRL ",1,"do not worry. I wo not leave you. I promise. ",45
"174","HARRY","LILY POTTER ",5,"Once. Twice. Thrice |Why are you here? All of you?|Does it hurt? Dying?|I am sorry. I did not want any of you to die for me. And Remus, your son |Stay close to me. ",164
"175","LILY POTTER ","HARRY",3,"You have been so brave, sweethheart. |We never left, dear. |Always ",67
"176","SIRIUS BLACK","LUPIN",1,"Quicker than falling asleep. ",29
"177","LUPIN ","JAMES POTTER ",1,"And he will want it to be quick. ",33
"178","JAMES POTTER ","HARRY",2,"You are nearly there, son. |Unitl the end.",42
"179","HARRY","JAMES POTTER",3,"I am sorry. I did not want any of you to die for me. And Remus, your son |You will stay with me?|He wo not be able to see you. ",127
"180","LUPIN ","HARRY",1,"Others will tell him what his mother and father died for. Someday he will understand ",85
"181","SIRIUS BLACK","HARRY",1,"No. We are here, you see. ",26
"182","YAXLEY","VOLDEMORT",1,"No sign of him, my Lord.",24
"183","VOLDEMORT","YAXLEY",1,"I thought he would come. I was,
it seems  Mistaken",50
"184","HARRY","VOLDEMORT",5,"You were not.|Because I have something worth
living for.
Confringo!|You were right.
When you told Professor Snape it
was failing you. It will always
fail you.|But what if the wand never
belonged to him? What if the
wand  allegiance was to someone
else?
Come on, Tom. Let  end this the
way we started it 
Together.|I told you: it  useless to you.",345
"185","HAGRID","HARRY",1,"HARRY! NO! WHAT are YEH DOIng
here!",35
"186","YAXLEY","HAGRID",1,"Quiet!",6
"187","DUMBLEDORE","HARRY",24,"You cannot help.
Harry. You wonderful boy. You
brave, brave man. Let us walk.|Oh, yes.|Ah. That is the question, is not
it? On the whole I think not.|Not.|And that will, I think, have made
all the difference. I suspect you
now realize that you and Voldemort
have been connected by something
other than fate since that night
in Godric  Hollow all those years
ago, Harry.|Did. It was just destroyed only
moments ago by none other than
Voldemort himself.
You were the seventh Horcrux,
Harry; the Horcrux he never meant
to make.|Certain? No. Little is certain
in this world, Harry. Call it an
educated guess.|Something beyond either of our
help.|I was going to ask you that.
Where would you say that we are?|King  Cross! Is that right?
Well, this is, as they say, your
party.|You will have to forgive me,
Harry. You see  I did not trust
you.
I feared that you would make the
same mistake I made, that you
would be intoxicated by the power
the Hallows promise their
possessor. But I crave your
pardon, Harry. It  clear to me
now, as it should have been all
along, that you are the better
man.|You are the worthy possessor of
the Hallows, Harry, not me. I was
fit to own the Elder Wand, because
I took it not for gain, but to
save others from it. But I took
the Stone because I longed to
recall someone who has long been
at peace and for that I paid with
my life.|Yes.|True. But ask yourself this:
were you calling them? Or were
they calling you?
You are the true master of death,
Harry, because the true master
does not seek to run away from
death. He accepts that he must
die, and understands that there
are far, far worse things in the
living world.|That is up to you.|Oh yes. We are in King  Cross,
you say? I think, should you so
decide, you would be able to,
let  say, board a train.|On.|True.|Yes|Help will always be given at
Hogwarts to those who ask for it.
I have always prized my ability to
turn a phrase -- words are, in my
not so humble opinion, our most
inexhaustible source of magic,
capable both of inflicting injury
and remedying it. But I would --
in this case -- amend my original
statement to this:
Help will always be given at
Hogwarts to those who most deserve
it 
Assuming circumstances in the main
are favorable to such an outcome,
of course.|I have never put much stock in
miracles, Harry. On the other
hand, I can attest wholly to the
extensive advantages of a related
phenomenon.|Luck.
Do not pity the dead, Harry. Pity
the living and, above all, those
who live without love.|Actually, if I think about it 
it does not seem curious at all.
(a smile)
I will be going now, Harry|Of course it is happening inside
your head, Harry. But why should
that mean that it is not real?",2694
"188","HARRY","DUMBLEDORE",23,"Sir, this, is this  I mean,
forgive me, but you are dead,
are not you, sir?|Then  I am dead too?|Not?|But I did not defend myself. I let
him kill me.|It  true, is not it, sir? A bit
of him lives in me, does not it?|And you knew this? That  why you
were certain I would not die?|Professor, is that -- ?|Exactly where are we, sir?|It looks like King  Cross station
-- only a lot cleaner. And
without the trains.|Sir, why did not you just tell me
about the Deathly Hallows?|Sir--|You wanted to see Ariana again,
did not you, sir?|I used the Stone as well, sir,
only a little while ago when I
entered the Forest. I saw my mum
and dad, and Sirius and Lupin |I have got to go back, have not I?|I have got a choice?|And where would it take me?|Voldemort  got the Elder Wand.|And the snake lives.|And I have nothing to kill it with|With all due respect, sir, I think
what we need here is a miracle.|Which would be, sir?|Sir, my mother  Patronus. It was
a doe, was not it? Just like
Professor Snape . Curious, Do not
you think?|Professor.
Is this real? Or has this been
happening inside my head?",1086
"189","NARCISSA","HARRY",2,"Is he alive ?|Is he alive? Draco?",33
"190","BELLATRIX","VOLDEMORT",2,"My lord, let me help you --|Someone has to do the washing.",58
"191","VOLDEMORT","BELLATRIX",2,"I do not require assistance.|Now, now, Bellatrix. Let  not
underestimate our young friend.
By stepping forward, he lives to
see another day ",140
"192","NARCISSA","BELLATRIX",1,"Dead",4
"193","SORTING HAT","NEVILLE",1,"Do not despair, Longbottom. I put
you in Gryffindor for good
reason ",68
"194","ARTHUR WEASLEY","NEVILLE",1,"What  going on here, Neville?",29
"195","GINNY","VOLDEMORT",1,"No  NO!",7
"196","VOLDEMORT","GINNY",2,"SILENCE!
Stupid girl. You cry for that?|Tell me. These last few hours --
as you collected the dead and
tended your wounded -- was he by
your side?
While your hands ran dark with the
blood of mothers and sons, fathers
and daughters, brothers and
sisters, his were clasped in
prayer -- but it was a prayer for
one and one only. While you
battled courageously, until you
could no longer will yourself to
stand, he had long since fallen to
his knees. While you cursed me
until your voices grew ragged, he
begged me for mercy in a voice as
meek as a child .
So do not cry for that. He  not
worthy of your tears. And do not
despair of his betrayal. You were
never in his heart. Not for one
single solitary beat.",705
"197","VOLDEMORT","RON",1,"Did you not hear me! Harry Potter
is dead! From this day forward,
you put your faith in me or suffer
the consequences. HARRYPOTTER IS
DEAD!
Now is the time to declare
yourself.",176
"198","LUCIUS MALFOY","DRACO",1,"Draco 
Draco, Do not be stupid --",33
"199","NARCISSA","DRACO",1,"Come, Draco.",12
"200","RON","DRACO",2,"He saved your life.|Well done, Malfoy!

",40
"201","VOLDEMORT","DRACO",1,"Well done, Draco. Who will be
next? Hm? Come now, Do not be
shy.",64
"202","VOLDEMORT","NEVILLE",4,"Well, I must say, I had hoped for
better. Is this truly the best
Hogwarts has to offer?|Who might you be, young man?|Well, welcome, Neville. I am sure
we can find a place for you in our
ranks.|Very well, Neville. I am sure we had
all be fascinated to hear what you
have to say.",277
"203","NEVILLE","VOLDEMORT",5,"Neville Longbottom.|I had like to say something|It does not matter that Harry is
gone.|People die every day. Friends.
Family. Yes, we lost Harry
tonight. But he  still with us,
here --
(tapping his heart)
And so is Fred and Remus and Tonks
and  all of them. They did not
die in vain.|And so will you. Becauseyou are
wrong. Harry  heart did beat for
us. All of us 
This is not over.",381
"204","NEVILLE","BELLATRIX",1,"But you will",12
"205","NEVILLE","DEATH EATERS",1,"And you and you and you will.",29
"206","HARRY","NAGINI",1,"Confringo!",10
"207","HARRY","FRIENDS",1,"The snake! We havegot to kill the
snake!",40
"208","MRS. WEASLEY","BELLATRIX",2,"NOT MY DAUGHTER, YOU BITCH!|You will never touch my children
again!",67
"209","BELLATRIX","MRS. WEASLEY",2,"Come on, granny, give us your
best.|Be thankful we only took one.
Besides 
It  not like you Do not have a
spare.",112
"210","MRS. WEASLEY","WEASLEYS",1,"Back off, boys! She  mine!",26
"211","TRELAWNEY","SEAMUS",1,"There  more to me than incense
and tea leaves, Mr. Finnegan.",60
"212","HARRY","ALBUS",6,"Together?|There  nothing scary about
thestrals. They are gentle things.
Anyway, you will not be going up to
school in the carriages. You will
be going in the boats, remember?|Yes?|Albus Severus Potter. You were
named after two Headmasters of
Hogwarts. One of them was a
Slytherin. And he was probably
the bravest man I ever knew.|Then Slytherin House will have
gained a wonderful wizard. But
listen, if it means so much to
you, you can choose Gryffindor.
The Sorting Hat takes your choice
into account.|Really.
Ready?",517
"213","HERMIONE","ROSE",1,"Do not forget to give Professor
Longbottom our best.",52
"214","ALBUS","HARRY",6,"Will there really be thestrals
pulling the carriages?|Dad?|What if I am put in Slytherin?|But just say I am --|Really?|Ready.",125
